ecd_id,grade,academic_year
1,Baby,2020-2021
2,Baby,2020-2021
3,Baby,2020-2021
4,Baby,2020-2021
5,Baby,2020-2021
6,Baby,2020-2021
7,Baby,2020-2021
8,Baby,2020-2021
9,Baby,2020-2021
10,Baby,2020-2021
11,Baby,2020-2021
12,Baby,2020-2021
13,Baby,2020-2021
14,Baby,2020-2021
15,Baby,2020-2021
16,Baby,2020-2021
17,Baby,2020-2021
18,Baby,2020-2021
19,Baby,2020-2021
20,Baby,2020-2021
21,Baby,2020-2021
22,Baby,2020-2021
23,Baby,2020-2021
24,Baby,2020-2021
25,Baby,2020-2021
26,Middle,2020-2021
27,Middle,2020-2021
28,Middle,2020-2021
29,Middle,2020-2021
30,Middle,2020-2021
31,Middle,2020-2021
32,Middle,2020-2021
33,Middle,2020-2021
34,Middle,2020-2021
35,Middle,2020-2021
36,Middle,2020-2021
37,Middle,2020-2021
38,Middle,2020-2021
39,Middle,2020-2021
40,Middle,2020-2021
41,Middle,2020-2021
42,Middle,2020-2021
43,Middle,2020-2021
44,Middle,2020-2021
45,Middle,2020-2021
46,Middle,2020-2021
47,Middle,2020-2021
48,Middle,2020-2021
49,Middle,2020-2021
50,Middle,2020-2021
51,Middle,2020-2021
52,Middle,2020-2021
53,Middle,2020-2021
54,Middle,2020-2021
55,Middle,2020-2021
56,Middle,2020-2021
57,Middle,2020-2021
58,Middle,2020-2021
59,Top,2020-2021
60,Top,2020-2021
61,Top,2020-2021
62,Top,2020-2021
63,Top,2020-2021
64,Top,2020-2021
65,Top,2020-2021
66,Top,2020-2021
67,Top,2020-2021
68,Top,2020-2021
69,Top,2020-2021
70,Top,2020-2021
71,Top,2020-2021
72,Top,2020-2021
73,Top,2020-2021
74,Top,2020-2021
75,Top,2020-2021
76,Top,2020-2021
77,Top,2020-2021
78,Top,2020-2021
79,Top,2020-2021
80,Top,2020-2021
81,Top,2020-2021
82,Top,2020-2021
83,Top,2020-2021
84,Top,2020-2021
85,Top,2020-2021
86,Top,2020-2021
87,Top,2020-2021
88,Top,2020-2021
89,Top,2020-2021
90,Top,2020-2021
91,Top,2020-2021
92,Top,2020-2021
93,Top,2020-2021
94,Top,2020-2021
95,Baby,2021-2022
96,Baby,2021-2022
97,Baby,2021-2022
98,Baby,2021-2022
99,Baby,2021-2022
100,Baby,2021-2022
101,Baby,2021-2022
102,Baby,2021-2022
103,Baby,2021-2022
104,Baby,2021-2022
105,Baby,2021-2022
106,Baby,2021-2022
107,Baby,2021-2022
108,Baby,2021-2022
109,Baby,2021-2022
110,Baby,2021-2022
111,Baby,2021-2022
112,Baby,2021-2022
113,Baby,2021-2022
114,Baby,2021-2022
115,Baby,2021-2022
116,Baby,2021-2022
117,Baby,2021-2022
118,Baby,2021-2022
119,Baby,2021-2022
120,Baby,2021-2022
121,Baby,2021-2022
122,Baby,2021-2022
123,Baby,2021-2022
124,Baby,2021-2022
125,Baby,2021-2022
126,Baby,2021-2022
127,Middle,2021-2022
128,Middle,2021-2022
129,Middle,2021-2022
130,Middle,2021-2022
131,Middle,2021-2022
132,Middle,2021-2022
133,Middle,2021-2022
134,Middle,2021-2022
135,Middle,2021-2022
136,Middle,2021-2022
137,Middle,2021-2022
138,Middle,2021-2022
139,Middle,2021-2022
140,Middle,2021-2022
141,Middle,2021-2022
142,Middle,2021-2022
143,Middle,2021-2022
144,Middle,2021-2022
145,Middle,2021-2022
146,Middle,2021-2022
147,Middle,2021-2022
148,Middle,2021-2022
149,Middle,2021-2022
150,Middle,2021-2022
151,Middle,2021-2022
152,Middle,2021-2022
153,Middle,2021-2022
154,Middle,2021-2022
155,Top,2021-2022
156,Top,2021-2022
157,Top,2021-2022
158,Top,2021-2022
159,Top,2021-2022
160,Top,2021-2022
161,Top,2021-2022
162,Top,2021-2022
163,Top,2023-2024
164,Top,2023-2024
165,Top,2023-2024
166,Top,2023-2024
167,Top,2023-2024
168,Top,2023-2024
169,Top,2023-2024
170,Top,2023-2024
171,Top,2023-2024
172,Top,2023-2024
173,Top,2023-2024
174,Top,2023-2024
175,Top,2023-2024
176,Top,2023-2024
177,Top,2023-2024
178,Top,2023-2024
179,Top,2023-2024
180,Top,2023-2024
181,Top,2023-2024
182,Top,2024-2025
183,Top,2024-2025
184,Top,2024-2025
185,Top,2024-2025
186,Top,2024-2025
187,Top,2024-2025
188,Top,2024-2025
189,Top,2024-2025
190,Top,2024-2025
191,Top,2024-2025
192,Top,2024-2025
193,Top,2024-2025
194,Top,2024-2025
195,Top,2024-2025
196,Top,2024-2025
197,Top,2024-2025
198,Top,2024-2025
199,Top,2024-2025
200,Top,2024-2025
201,Top,2024-2025
202,Top,2024-2025
203,Top,2024-2025
204,Top,2024-2025
205,Top,2024-2025
206,Top,2024-2025
207,Top,2024-2025
208,Top,2024-2025
209,Top,2024-2025
210,,2024-2025
211,Baby,2023-2024
212,Baby,2023-2024
213,Baby,2023-2024
214,Baby,2023-2024
215,Baby,2023-2024
216,Baby,2023-2024
217,Baby,2023-2024
218,Baby,2023-2024
219,Baby,2023-2024
220,Baby,2023-2024
221,Baby,2023-2024
222,Baby,2023-2024
223,Baby,2023-2024
224,Baby,2023-2024
225,Baby,2023-2024
226,Baby,2023-2024
227,Baby,2023-2024
228,Baby,2023-2024
229,Baby,2023-2024
230,Baby,2023-2024
231,Baby,2023-2024
232,Baby,2023-2024
233,Baby,2023-2024
234,Baby,2023-2024
235,Baby,2023-2024
236,Baby,2023-2024
237,Baby,2023-2024
238,Baby,2023-2024
239,Baby,2023-2024
240,Baby,2023-2024
241,Baby,2023-2024
242,Baby,2023-2024
243,Middle,2023-2024
244,Middle,2023-2024
245,Middle,2023-2024
246,Middle,2023-2024
247,Middle,2023-2024
248,Middle,2023-2024
249,Middle,2023-2024
250,Middle,2023-2024
251,Middle,2023-2024
252,Middle,2023-2024
253,Middle,2023-2024
254,Middle,2023-2024
255,Middle,2023-2024
256,Middle,2023-2024
257,Middle,2023-2024
258,Middle,2023-2024
259,Middle,2023-2024
260,Middle,2023-2024
261,Middle,2023-2024
262,Middle,2023-2024
263,Middle,2023-2024
264,Middle,2023-2024
265,Middle,2023-2024
266,Middle,2023-2024
267,Middle,2023-2024
268,Middle,2023-2024
269,Middle,2023-2024
270,Middle,2023-2024
271,Middle,2023-2024
272,Top,2023-2024
273,Top,2023-2024
274,Top,2023-2024
275,Top,2023-2024
276,Top,2023-2024
277,Top,2023-2024
278,Top,2023-2024
279,Top,2023-2024
280,Top,2023-2024
281,Top,2023-2024
282,Top,2023-2024
283,Top,2023-2024
284,Top,2023-2024
285,Top,2023-2024
286,Top,2023-2024
287,Top,2023-2024
288,Top,2023-2024
289,Top,2023-2024
290,Top,2023-2024
291,Top,2023-2024
292,Top,2023-2024
293,Top,2023-2024
294,Top,2023-2024
295,Top,2023-2024
296,Top,2023-2024
297,Top,2023-2024
298,Top,2023-2024
299,Top,2023-2024
300,Top,2023-2024
301,Top,2023-2024
302,Top,2023-2024
303,Top,2023-2024
304,Top,2023-2024